titulos,companias
"Ejecutivo/a Comercial (Zamora, Michoacán)",BBVA
AUXILAR DE LOGISTICA,GRUPO BARCO
CALL CENTER HOTEL FIESTA INN MORELIA ALTOZANO,Grupo Posadas
Gerente ERP,CINÉPOLIS
ASESOR ONLINE,AUTOCOM CORPORATIVO
CAJERO,BanBajío
Analista de Compras,GRUPO LOROS
Generalista de Recursos Humanos,QUALITY POST
Cajero Multifuncional,Fundación Rafael Dondé I.A.P
"Ejecutivo/a Comercial (La piedad, Michoacán)",BBVA
Hostess cajero,Calle Real Morelia
Coordinador del Sistema de Gestión de Calidad,DEL MONTE FRESH PRODUCE S.A. DE C.V.
Acopiador de Aguacate,AGRICOLA LOMBARDIA
AUXILIAR ADMINISTRATIVO,DIMEGESI
Chofer descargador,CEMENTOS CRUZ AZUL
Vigilante nocturno,PRODUCTORA DE FILAMENTO CONTINUO S.A. DE C.V.
lavador de autos,HYUNDAI URUAPAN
OPERADOR DE MAQUINA BLOQUERA,ADOQUINES Y BLOQUES DE LA PIEDAD
CHOFER VENDEDOR,LECHE AL DIA
CHOFER REPARTIDOR,DH MEDICAL COMERCIALIZADORA HOSPITALARIA
Chofer Repartidor de Moto,Innwork Consultores
chofer vendedor,RECLUTAMIENTO MALE
Ayudante General,Talent
MONTACARGUISTA,METCO SA DE CV
Personal de limpieza,PARHER
Herrero soldador,Tapiceria Scorpio de Michoacan S.A. de C.V
MECANICO AUTOMOTRIZ,RAVISA AUTOMOTRIZ
Promotor de ventas,KENWORTH DE MICHOACAN
CONDUCTOR DE MAQUINARIA PESADA EN CONSTRUCCIÓN,CONCESIONARIA MIRAMAR
CHOFER REPARTIDOR,ROLY ICE
VENDEDORA CAJERA- SHASA SENTURA ZAMORA,Shasa
Valuador Vendedor de Piso,BALSAS SECTOR ADMINISTRACION SA DE CV
PROMOTOR DE CAMBACEO,MEGACABLE COMUNICACIONES
VIGILANTE,SANATORIO LA LUZ
Asesores de crédito MORELIA lunes a viernes!,Kondinero
VENDEDORA DE PERFUMES,Manpower
PROMOTOR DE VENTAS,PROYECTOS Y SERVICIOS DE RESGUARDO
Ventas comisionadas,GIN
Chofer repartidor / Ayudante y Titular,Sello Rojo del Norte SA DE CV
Representante de Ventas,Gin
gestor de cobranza,Micros lafin S.A DE C.V. SOFOM E.N.R.
CHOFER DE VEHICULOS DE CARGA,ACEROS MONTERREY
MEDICO LABORAL,Foli De México
CHOFER VENDEDOR,GAS EXPRESS NIETO S.A DE C.V
MECANICO AUTOMOTRIZ DIESEL,Solistica
CHOFER VENDEDOR,ALIMENTOS SELLO ROJO
Auxiliar de venta y logistica,Human Access
"ELEMENTO DE SEGURIDAD PRIVADA 24X24 LERMA $6,000.00",PROTECCION INTEGRAL GREIZZ DE MEXICO SA DE CV
Técnico de Seguridad Electrónica,CGS
Asesora de Ventas por Temporada,Todomoda
PROMOTOR DE VENTAS,HOME RASSEL SA DE CV
MECÁNICO,INDUSTRIAS POLIPLASTICOS DE MICHOACAN
PROMOTOR DE VENTAS,LIFE NATURAL
Gestor de Cobranza Domiciliaria,Financiera
ejecutivo de ventas,Huus Tecnologia MM SA de CV
Gestor de cobranza en moto,DISH
mecánico automotriz,Agua Purificada El Teco SA de CV
GUARDIA DE SEGURIDAD,SEMAPRI
GUARDIA DE SEGURIDAD,ONSEGPRI
ASESOR DE VENTAS,HOME RASSEL SA DE CV
GUARDIA DE SEGURIDAD,CORPORATIVO G.G.Q.
Agente de ventas tiempo completo - Plaza Paseo Altozano,Job Fit
GUARDIA DE SEGURIDAD PRIVADA ADUANAL,SEGURIDAD PRIVADA INTEGRAL
"Banquero Personal (Juan Aldama, Zacatecas)",BBVA BANCOMER
Ejecutivo de Reclutamiento y Selección,WIZZ
AUXILIAR ADMINISTRATIVO,Arca Continental
Capturista de datos,SERVICIOS Y SUMINISTROS KAABA S.A DE C.V
Gerente junior,Corporativo Boryel S.A de C.V
Supervisor Calidad,Grupo Modelo
